TRAINING
looking looked
going went
swimming swam
shrinking shrank
striking struck
implementing implemented
taking took
sleeping slept
feeding fed
decreasing decreased
reading read
thinking thought
sitting sat
spending spent
running ran
playing played
singing sang
hiding hid
dancing danced
jumping jumped
predicting predicted
falling fell
slowing slowed
hitting hit
knowing knew
flying flew
enhancing enhanced
moving moved
describing described
seeing saw
listening listened
increasing increased
TUNING
screaming screamed
generating generated
writing wrote
walking walked
TEST
paying paid
saying said
selling sold
vanishing vanished
