TRAINING
efficient inefficient
comfortable uncomfortable
decided undecided
pleasant unpleasant
competitive uncompetitive
informative uninformative
acceptable unacceptable
reasonable unreasonable
productive unproductive
responsible irresponsible
aware unaware
impressive unimpressive
consistent inconsistent
honest dishonest
possible impossible
tasteful distasteful
convenient inconvenient
clear unclear
logical illogical
likely unlikely
ethical unethical
informed uninformed
rational irrational
known unknown
TUNING
fortunate unfortunate
possibly impossibly
convincing unconvincing
TEST
certain uncertain
sure unsure
