TRAINING
discover discovering
enhance enhancing
dance dancing
see seeing
run running
invent inventing
debug debugging
sit sitting
slow slowing
go going
fly flying
implement implementing
swim swimming
decrease decreasing
look looking
predict predicting
say saying
code coding
play playing
walk walking
read reading
listen listening
increase increasing
shuffle shuffling
jump jumping
scream screaming
vanish vanishing
TUNING
move moving
generate generating
sing singing
TEST
describe describing
think thinking
write writing
