TRAINING
dance dancing
walk walking
swim swimming
see seeing
generate generating
slow slowing
shuffle shuffling
run running
sing singing
discover discovering
fly flying
implement implementing
play playing
decrease decreasing
look looking
go going
say saying
think thinking
describe describing
invent inventing
jump jumping
listen listening
increase increasing
sit sitting
write writing
code coding
predict predicting
TUNING
move moving
read reading
scream screaming
TEST
vanish vanishing
enhance enhancing
debug debugging
